oblast,city,district,type,area,price,price_sqm,floor,total_floors,is_ground,is_top,is_middle,construction,изложение,elevator,access_control,parking,ac,furnished,тец,act_16,is_renovated,is_bds,is_lux,seller_type,building_age,building_era
Стара Загора област,гр. Стара Загора,кв. Индустриален,other,32.0,9500.0,296.875,3,5,0,0,1,друго,неизвестно,1.0,,,,1.0,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,garage/parking,20.0,15500.0,775.0,1,12,1,0,0,друго,север,,,1.0,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,garage/parking,16.0,17000.0,1062.5,1,3,1,0,0,друго,неизвестно,,,1.0,,,,,,,,1,3,нов
Стара Загора област,гр. Стара Загора,Самара 3,land/plot,250.0,18000.0,72.0,1,3,1,0,0,друго,неизвестно,,,,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,garage/parking,21.0,22900.0,1090.4761904761904,1,3,1,0,0,друго,неизвестно,,,1.0,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,garage/parking,22.0,25200.0,1145.4545454545455,1,7,1,0,0,друго,неизвестно,,,1.0,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,other,25.0,27990.0,1119.6,0,3,0,0,1,друго,неизвестно,,,,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,garage/parking,31.0,28070.0,905.483870967742,1,3,1,0,0,друго,неизвестно,,,1.0,,,,,,,,2,3,нов
Стара Загора област,гр. Стара Загора,Център,garage/parking,22.0,32000.0,1454.5454545454545,1,3,1,0,0,друго,неизвестно,,,1.0,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,other,36.0,36050.0,1001.3888888888889,1,4,1,0,0,друго,неизвестно,,,,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Самара 1,2 room,51.0,43000.0,843.1372549019608,12,12,0,1,0,друго,неизвестно,,,,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,м-т Голеш,villa,15.0,43000.0,2866.6666666666665,1,1,1,0,0,друго,неизвестно,,,,,,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Център,1 room,33.0,49500.0,1500.0,4,8,0,0,1,друго,запад,,,,,1.0,,,,,,1,20,среден
Стара Загора област,гр. Стара Загора,Казански,2 room,38.0,54000.0,1421.0526315789473,4,15,0,0,1,друго,юг,,,,,,,,,,,1,20,среден
